openable,encrypted,page_count,file_size_mb,has_text_layer,text_chars_page1,likely_scanned,error,pdf_path,pdf_filename,stock_code,page_length_class
True,False,420,4.81,False,0,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/00368_30-06-2020_德合集團_股份發售.pdf,00368_30-06-2020_德合集團_股份發售.pdf,00368,长篇(300-499页)
True,False,566,4.91,True,158,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/00589_28-02-2020_建中建設_股份發售.pdf,00589_28-02-2020_建中建設_股份發售.pdf,00589,超长篇(≥500页)
True,False,634,10.77,True,152,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/00873_20-10-2020_世茂服務_全球發售.pdf,00873_20-10-2020_世茂服務_全球發售.pdf,00873,超长篇(≥500页)
True,False,619,9.13,True,118,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/00909_15-09-2020_明源雲_全球發售.pdf,00909_15-09-2020_明源雲_全球發售.pdf,00909,超长篇(≥500页)
True,False,458,4.76,True,93,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01147_23-04-2020_伊登軟件_股份發售.pdf,01147_23-04-2020_伊登軟件_股份發售.pdf,01147,长篇(300-499页)
True,False,559,3.69,True,176,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01153_27-11-2020_佳源服務_全球發售.pdf,01153_27-11-2020_佳源服務_全球發售.pdf,01153,超长篇(≥500页)
True,False,498,7.67,True,164,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,01156,长篇(300-499页)
True,False,421,6.24,True,91,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01163_29-06-2020_虎視傳媒_全球發售.pdf,01163_29-06-2020_虎視傳媒_全球發售.pdf,01163,长篇(300-499页)
True,False,520,6.92,True,119,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01167_09-12-2020_加科思－Ｂ_全球發售.pdf,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,01167,超长篇(≥500页)
True,False,599,3.56,False,0,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,01179,超长篇(≥500页)
True,False,576,9.2,True,125,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01209_25-11-2020_華潤萬象生活_全球發售.pdf,01209_25-11-2020_華潤萬象生活_全球發售.pdf,01209,超长篇(≥500页)
True,False,594,4.64,True,204,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01248_29-10-2020_天兆豬業_全球發售.pdf,01248_29-10-2020_天兆豬業_全球發售.pdf,01248,超长篇(≥500页)
True,False,482,8.25,True,62,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01343_25-02-2020_偉源控股_股份發售.pdf,01343_25-02-2020_偉源控股_股份發售.pdf,01343,长篇(300-499页)
True,False,487,5.39,True,131,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01351_28-10-2020_輝煌明天_股份發售.pdf,01351_28-10-2020_輝煌明天_股份發售.pdf,01351,长篇(300-499页)
True,False,454,5.57,True,136,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,01376,长篇(300-499页)
True,False,510,7.54,False,4,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/01379_11-12-2020_温嶺工量刃具_全球發售.pdf,01379_11-12-2020_温嶺工量刃具_全球發售.pdf,01379,超长篇(≥500页)
True,False,503,3.76,True,91,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01408_31-08-2020_濠江機電_全球發售.pdf,01408_31-08-2020_濠江機電_全球發售.pdf,01408,超长篇(≥500页)
True,False,494,8.9,False,4,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/01429_15-09-2020_天任集團_股份發售.pdf,01429_15-09-2020_天任集團_股份發售.pdf,01429,长篇(300-499页)
True,False,486,3.66,False,0,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/01433_28-02-2020_常達控股_全球發售.pdf,01433_28-02-2020_常達控股_全球發售.pdf,01433,长篇(300-499页)
True,False,533,11.98,True,91,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,01440,超长篇(≥500页)
True,False,611,6.31,True,89,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01449_27-07-2020_立德教育_全球發售.pdf,01449_27-07-2020_立德教育_全球發售.pdf,01449,超长篇(≥500页)
True,False,494,9.51,True,122,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01455_31-08-2020_科利實業控股_全球發售.pdf,01455_31-08-2020_科利實業控股_全球發售.pdf,01455,长篇(300-499页)
True,False,508,7.02,True,78,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01463_17-03-2020_C-LINK SQ_股份發售.pdf,01463_17-03-2020_C-LINK SQ_股份發售.pdf,01463,超长篇(≥500页)
True,False,454,4.59,True,121,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01472_28-02-2020_生興控股_股份發售.pdf,01472_28-02-2020_生興控股_股份發售.pdf,01472,长篇(300-499页)
True,False,578,9.81,False,0,True,,/nfs/users/wuqianqian/IPOI/dataset/2020/01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,01477_29-06-2020_歐康維視生物－Ｂ_全球發售.pdf,01477,超长篇(≥500页)
True,False,531,47.94,True,77,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01490_31-12-2020_CHESHI_全球發售.pdf,01490_31-12-2020_CHESHI_全球發售.pdf,01490,超长篇(≥500页)
True,False,576,6.0,True,116,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01502_19-06-2020_金融街物業_全球發售.pdf,01502_19-06-2020_金融街物業_全球發售.pdf,01502,超长篇(≥500页)
True,False,668,5.31,True,128,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01516_09-11-2020_融創服務_全球發售.pdf,01516_09-11-2020_融創服務_全球發售.pdf,01516,超长篇(≥500页)
True,False,550,7.11,True,108,False,,/nfs/users/wuqianqian/IPOI/dataset/2020/01597_29-09-2020_納泉能源科技_全球發售.pdf,01597_29-09-2020_納泉能源科技_全球發售.pdf,01597,超长篇(≥500页)
