date,industry,ipo_count_365d,avg_day1_return_365d,break_rate_365d
2020-01-01,TMT/互联网,0,,
2020-01-01,其他,0,,
2020-01-01,地产/建筑,0,,
2020-01-01,工业/制造,0,,
2020-01-01,新能源/汽车,0,,
2020-01-01,消费/零售,0,,
2020-01-01,生物科技/医药,0,,
2020-01-01,金融,0,,
2020-01-02,TMT/互联网,0,,
2020-01-02,其他,0,,
2020-01-02,地产/建筑,0,,
2020-01-02,工业/制造,0,,
2020-01-02,新能源/汽车,0,,
2020-01-02,消费/零售,0,,
2020-01-02,生物科技/医药,0,,
2020-01-02,金融,0,,
2020-01-03,TMT/互联网,0,,
2020-01-03,其他,0,,
2020-01-03,地产/建筑,0,,
2020-01-03,工业/制造,0,,
2020-01-03,新能源/汽车,0,,
2020-01-03,消费/零售,0,,
2020-01-03,生物科技/医药,0,,
2020-01-03,金融,0,,
2020-01-04,TMT/互联网,0,,
2020-01-04,其他,0,,
2020-01-04,地产/建筑,0,,
2020-01-04,工业/制造,0,,
2020-01-04,新能源/汽车,0,,
2020-01-04,消费/零售,0,,
2020-01-04,生物科技/医药,0,,
2020-01-04,金融,0,,
2020-01-05,TMT/互联网,0,,
2020-01-05,其他,0,,
2020-01-05,地产/建筑,0,,
2020-01-05,工业/制造,0,,
2020-01-05,新能源/汽车,0,,
2020-01-05,消费/零售,0,,
2020-01-05,生物科技/医药,0,,
2020-01-05,金融,0,,
2020-01-06,TMT/互联网,0,,
2020-01-06,其他,0,,
2020-01-06,地产/建筑,0,,
2020-01-06,工业/制造,0,,
2020-01-06,新能源/汽车,0,,
2020-01-06,消费/零售,0,,
2020-01-06,生物科技/医药,0,,
2020-01-06,金融,0,,
2020-01-07,TMT/互联网,0,,
2020-01-07,其他,0,,
2020-01-07,地产/建筑,0,,
2020-01-07,工业/制造,0,,
2020-01-07,新能源/汽车,0,,
2020-01-07,消费/零售,0,,
2020-01-07,生物科技/医药,0,,
2020-01-07,金融,0,,
2020-01-08,TMT/互联网,0,,
2020-01-08,其他,0,,
2020-01-08,地产/建筑,0,,
2020-01-08,工业/制造,0,,
2020-01-08,新能源/汽车,0,,
2020-01-08,消费/零售,0,,
2020-01-08,生物科技/医药,0,,
2020-01-08,金融,0,,
2020-01-09,TMT/互联网,0,,
2020-01-09,其他,0,,
2020-01-09,地产/建筑,0,,
2020-01-09,工业/制造,0,,
2020-01-09,新能源/汽车,0,,
2020-01-09,消费/零售,0,,
2020-01-09,生物科技/医药,0,,
2020-01-09,金融,0,,
2020-01-10,TMT/互联网,0,,
2020-01-10,其他,0,,
2020-01-10,地产/建筑,0,,
2020-01-10,工业/制造,0,,
2020-01-10,新能源/汽车,0,,
2020-01-10,消费/零售,0,,
2020-01-10,生物科技/医药,0,,
2020-01-10,金融,0,,
2020-01-11,TMT/互联网,0,,
2020-01-11,其他,0,,
2020-01-11,地产/建筑,0,,
2020-01-11,工业/制造,0,,
2020-01-11,新能源/汽车,0,,
2020-01-11,消费/零售,0,,
2020-01-11,生物科技/医药,0,,
2020-01-11,金融,0,,
2020-01-12,TMT/互联网,0,,
2020-01-12,其他,0,,
2020-01-12,地产/建筑,0,,
2020-01-12,工业/制造,0,,
2020-01-12,新能源/汽车,0,,
2020-01-12,消费/零售,0,,
2020-01-12,生物科技/医药,0,,
2020-01-12,金融,0,,
2020-01-13,TMT/互联网,0,,
2020-01-13,其他,0,,
2020-01-13,地产/建筑,0,,
2020-01-13,工业/制造,0,,
2020-01-13,新能源/汽车,0,,
2020-01-13,消费/零售,0,,
2020-01-13,生物科技/医药,0,,
2020-01-13,金融,0,,
2020-01-14,TMT/互联网,0,,
2020-01-14,其他,0,,
2020-01-14,地产/建筑,0,,
2020-01-14,工业/制造,0,,
2020-01-14,新能源/汽车,0,,
2020-01-14,消费/零售,0,,
2020-01-14,生物科技/医药,0,,
2020-01-14,金融,0,,
2020-01-15,TMT/互联网,0,,
2020-01-15,其他,0,,
2020-01-15,地产/建筑,0,,
2020-01-15,工业/制造,0,,
2020-01-15,新能源/汽车,0,,
2020-01-15,消费/零售,0,,
2020-01-15,生物科技/医药,0,,
2020-01-15,金融,0,,
2020-01-16,TMT/互联网,0,,
2020-01-16,其他,0,,
2020-01-16,地产/建筑,0,,
2020-01-16,工业/制造,0,,
2020-01-16,新能源/汽车,0,,
2020-01-16,消费/零售,0,,
2020-01-16,生物科技/医药,0,,
2020-01-16,金融,0,,
2020-01-17,TMT/互联网,0,,
2020-01-17,其他,0,,
2020-01-17,地产/建筑,0,,
2020-01-17,工业/制造,0,,
2020-01-17,新能源/汽车,0,,
2020-01-17,消费/零售,0,,
2020-01-17,生物科技/医药,0,,
